KL001, uuser, 3, RM 540, 24/06/2021, 27/06/2021
KLXY2, uuser, 3, RM 660, 24/06/2021, 27/06/2021
KLXY3, uuser, 1, RM 450, 25/06/2021, 26/06/2021
KL001, uuser, 2, RM 360, 25/06/2021, 27/06/2021
KL001, newuser, 3, RM 540, 25/06/2021, 28/06/2021
KLXY2, uuser, 3, RM 660, 24/06/2021, 27/06/2021
KLXY2, uuser, 2, RM 440, 24/06/2021, 26/06/2021
KL001, uuser, 4, RM 400, 24/06/2021, 28/06/2021
KL001, uuser, 2, RM 200, 25/06/2021, 27/06/2021
KL001, uuser, 2, RM 200, 25/06/2021, 27/06/2021
KL001, uuser, 2, RM 200, 25/06/2021, 27/06/2021
KL001, uuser, 2, RM 200, 25/06/2021, 27/06/2021
KL001, uuser, 2, RM 200, 25/06/2021, 27/06/2021
KL001, uuser, 2, RM 200, 25/06/2021, 27/06/2021
KL001, uuser, 2, RM 200, 25/06/2021, 27/06/2021
KL001, uuser, 2, RM 200, 25/06/2021, 27/06/2021
KL001, uuser, 2, RM 200, 25/06/2021, 27/06/2021
KL001, uuser, 3, RM 300, 25/06/2021, 28/06/2021
KL001, uuser, 5, RM 500, 25/06/2021, 30/06/2021
KL001, uuser, 6, RM 600, 25/06/2021, 01/07/2021
KL001, uuser, 9, RM 900, 25/06/2021, 04/07/2021
KL001, uuser, 3, RM 300, 25/06/2021, 28/06/2021
KL001, uuser, 3, RM 300, 25/06/2021, 28/06/2021
KL001, uuser, 3, RM 300, 25/06/2021, 28/06/2021
KL001, uuser, 3, RM 300, 25/06/2021, 28/06/2021
KL001, uuser, 3, RM 300, 27/06/2021, 30/06/2021
KL770, uuser, 3, RM 1500, 27/06/2021, 30/06/2021
